tconst,originalTitle,genres
tt0216841,Jet Set,Comedy
tt0225131,Les aventures d'une jeune veuve,Comedy
tt0228786,Les rivières pourpres,"Crime,Mystery,Thriller"
tt0230492,La maison qui empêche de voir la ville,Divers
tt0237534,Le pacte des loups,"Action,Adventure,Drama"
tt0244173,Le roi danse,"Drama,History,Music"
tt0250223,Astérix & Obélix : Mission Cléopâtre,"Adventure,Comedy,Family"
tt0254686,La pianiste,"Drama,Music"
tt0257247,Une nuit en Amérique,Divers
tt0259440,Se souvenir des belles choses,"Drama,Romance"
tt0259991,Du pic au coeur,"Comedy,Romance"
tt0261746,L'infonie inachevée,Documentary
tt0267044,Barnie et ses petites contrariétés,"Comedy,Drama"
tt0267129,Yamakasi - Les samouraïs des temps modernes,"Action,Crime,Drama"
tt0269058,Ceci est mon corps,Drama
tt0269105,Confession d'un dragueur,Comedy
tt0271337,18 ans après,"Comedy,Drama,Romance"
tt0281364,Wasabi,"Action,Comedy,Crime"
tt0283832,8 femmes,"Comedy,Crime,Musical"
tt0283900,L'auberge espagnole,"Comedy,Drama,Romance"
tt0284034,Demonlover,"Drama,Mystery,Thriller"
tt0286244,Les triplettes de Belleville,"Adventure,Animation,Comedy"
tt0290673,Irréversible,"Crime,Drama,Mystery"
tt0292720,La turbulence des fluides,"Comedy,Drama,Mystery"
tt0293915,Le révolutionnaire,"Comedy,Drama"
tt0295721,Taxi 3,"Action,Comedy,Crime"
tt0297058,Coeur de maman,Divers
tt0298082,"Ni pour, ni contre (bien au contraire)","Crime,Drama"
tt0298352,Le gros Bill,Drama
tt0301727,Le peuple migrateur,Documentary
tt0301730,Le pharmacien de garde,"Crime,Drama,Horror"
tt0302346,Blanche,"Adventure,Comedy"
tt0304417,Monique,"Comedy,Drama,Romance"
tt0307156,Michel Vaillant,"Action,Sport"
tt0309832,Maléfique,"Fantasy,Horror,Mystery"
tt0310203,Tais-toi!,"Comedy,Crime"
tt0312612,Des chiens dans la neige,"Crime,Drama,Mystery"
tt0314063,Immortel (ad vitam),"Drama,Sci-Fi,Thriller"
tt0314390,"Moi César, 10 ans 1/2, 1m39","Comedy,Drama,Family"
tt0318202,Être et avoir,"Documentary,Family"
tt0330193,Les dangereux,"Comedy,Crime"
tt0337430,Le voyage à la mer,Documentary
tt0338135,Les invasions barbares,"Comedy,Crime,Drama"
tt0344510,Un long dimanche de fiançailles,"Drama,Mystery,Romance"
tt0347458,La légende de Parva,Animation
tt0354899,La science des rêves,"Comedy,Drama,Fantasy"
tt0357111,RRRrrrr!!!,"Comedy,Crime,Mystery"
tt0362225,Ne le dis à personne,"Crime,Drama,Mystery"
tt0363532,Confidences trop intimes,"Drama,Romance,Thriller"
tt0367000,Saint Ange,"Drama,Fantasy,Horror"
tt0373690,Arsène Lupin,"Action,Adventure,Crime"
tt0378879,Tintin et moi,"Biography,Documentary"
tt0380798,Vipère au poing,Drama
tt0381270,Ils se marièrent et eurent beaucoup d'enfants,"Comedy,Drama,Music"
tt0381487,People,Comedy
tt0383995,Les clefs de bagnole,Comedy
tt0386741,Renaissance,"Action,Animation,Sci-Fi"
tt0387898,Caché,"Drama,Mystery,Thriller"
tt0390598,Vendus,Comedy
tt0395514,Le dernier trappeur,"Adventure,Documentary,Drama"
tt0399497,Avril,"Comedy,Drama"
tt0400400,Elles étaient cinq,"Crime,Drama"
tt0401383,Le scaphandre et le papillon,"Biography,Drama"
tt0401711,"Paris, je t'aime","Comedy,Drama,Romance"
tt0402158,L'empire des loups,"Action,Crime,Drama"
tt0402294,Iznogoud,"Comedy,Family,Fantasy"
tt0407230,Le survenant,Drama
tt0409184,Les poupées russes,"Comedy,Drama,Romance"
tt0410639,Les soeurs fâchées,"Comedy,Drama"
tt0411270,De battre mon coeur s'est arrêté,"Crime,Drama,Music"
tt0411272,L'ennemi public n°1,"Action,Biography,Crime"
tt0412535,Brice de Nice,Comedy
tt0414852,Banlieue 13,"Action,Crime,Sci-Fi"
tt0417071,Les mots bleus,"Drama,Romance"
tt0417453,L'avion,"Drama,Fantasy,Mystery"
tt0421974,Les chevaliers du ciel,"Action,Adventure,Drama"
tt0424205,Joyeux Noël,"Drama,History,Music"
tt0425985,Les filles du botaniste,"Drama,Romance"
tt0428287,"C'est pas moi, c'est l'autre",Comedy
tt0428428,Comment devenir un trou de cul et enfin plaire aux femmes,Comedy
tt0428803,La marche de l'empereur,"Documentary,Family"
tt0430895,Aurore,Drama
tt0433902,Bonzaïon,Comedy
tt0436982,"Zaïna, cavalière de l'Atlas","Adventure,Drama"
tt0437230,Horloge biologique,Comedy
tt0437526,Une vieille maîtresse,"Drama,Romance"
tt0442207,Enfermés dehors,Comedy
tt0443448,O Jerusalem,"Drama,History"
tt0444182,Indigènes,"Action,Drama,War"
tt0444200,J'ai vu tuer Ben Barka,Drama
tt0445800,Les bronzés 3: amis pour la vie,Comedy
tt0446442,Quelques jours en septembre,"Drama,Thriller"
tt0450188,La Môme,"Biography,Drama,Music"
tt0455078,L'anniversaire,Comedy
tt0460505,Maurice Richard,"Biography,Drama,Sport"
tt0460858,La maison du bonheur,Comedy
tt0463352,La personne aux deux personnes,"Comedy,Fantasy,Music"
tt0463385,Un dimanche à Kigali,"Drama,War"
tt0463872,Astérix aux jeux olympiques,"Adventure,Comedy,Family"
tt0473696,Saints-Martyrs-des-Damnés,"Drama,Horror,Mystery"
tt0473753,Angel-A,"Comedy,Drama,Fantasy"
tt0478566,Nos jours heureux,Comedy
tt0479647,"Bon Cop, Bad Cop","Action,Comedy,Crime"
tt0482088,Hors de prix,"Comedy,Romance"
tt0486084,Les aristos,Comedy
tt0487928,Dante 01,"Adventure,Drama,Sci-Fi"
tt0488565,Je crois que je l'aime,"Comedy,Drama,Romance"
tt0491901,Le voyage en Arménie,Drama
tt0756648,Le renard et l'enfant,"Drama,Family"
tt0775489,L'illusionniste,"Animation,Drama,Fantasy"
tt0783530,Je te mangerais,"Drama,Music"
tt0784994,Exiles in Lotusland,"Documentary,Romance"
tt0795370,Le deuxième souffle,"Crime,Drama,Mystery"
tt0800135,Mon colonel,"Crime,Drama,History"
tt0804540,Taxi 4,"Action,Comedy,Crime"
tt0808339,Largo Winch,"Action,Thriller"
tt0808417,Persepolis,"Animation,Biography,Drama"
tt0810809,Congorama,"Comedy,Drama"
tt0814685,Frontière(s),Horror
tt0816631,Roméo et Juliette,Drama
tt0825248,L'ennemi intime,"Drama,History,War"
tt0826711,Le voyage du ballon rouge,"Drama,Family"
tt0830545,Et toi t'es sur qui?,Romance
tt0832958,Sur la trace d'Igor Rizzi,"Comedy,Drama"
tt0852970,Je déteste les enfants des autres,Comedy
tt0856162,Asylum,Thriller
tt0856288,À l'intérieur,Horror
tt0865868,Big City,"Adventure,Family,Western"
tt0869994,Paris,"Comedy,Drama,Romance"
tt0875113,99 francs,"Comedy,Drama"
tt0884335,Chrysalis,"Crime,Drama,Sci-Fi"
tt0889222,Si le vent soulève les sables,Drama
tt0890887,Toi,Drama
tt0910935,Pas douce,Drama
tt0926759,Le premier jour du reste de ta vie,Drama
tt0940657,Arthur et la vengeance de Maltazard,"Adventure,Animation,Family"
tt0944834,Chasseurs de dragons,"Action,Adventure,Animation"
tt0961097,Un monstre à Paris,"Adventure,Animation,Comedy"
tt0996962,Modern Love,"Comedy,Musical,Romance"
tt10023150,Mon cousin,Comedy
tt1003052,Secret défense,Thriller
tt10046694,Fabuleuses,Comedy
tt10196398,Adieu les cons,"Comedy,Drama"
tt10199586,Atlantique,"Drama,Fantasy,Mystery"
tt1020773,Copie conforme,"Drama,Romance"
